Country,Year,Energy Consumption
Canada,1990,16.468
Mexico,1990,64.03832052623065
US,1990,135.978711827957
Total North America,1990,216.48503235418764
Argentina,1990,4.944
Brazil,1990,5.069899680026765
Other S. & Cent. America,1990,56.85723400690617
Total S. & Cent. America,1990,66.87113368693292
France,1990,8.668000000000001
Germany,1990,10.8
Italy,1990,102.71900000000001
Netherlands,1990,3.064
Poland,1990,1.57
Spain,1990,8.604000000000001
Turkey,1990,3.9417000000000004
Ukraine,1990,48.011
United Kingdom,1990,34.676
Other Europe,1990,60.26347733386497
Total Europe,1990,282.317177333865
Kazakhstan,1990,8.731
Russian Federation,1990,128.49379329835472
Other CIS,1990,36.463
Total CIS,1990,173.6877932983547
Iran,1990,19.886968789580976
Saudi Arabia,1990,39.15190352460071
United Arab Emirates,1990,0.0014183213256484146
Other Middle East,1990,53.8686558
Total Middle East,1990,112.90894643550733
Egypt,1990,15.5535
South Africa,1990,0.0
Other Africa,1990,27.39732335277672
Total Africa,1990,42.9508233527767
Australia,1990,3.474
China,1990,50.366
India,1990,13.312000000000001
Indonesia,1990,12.324080000000002
Japan,1990,287.53785595408164
Malaysia,1990,10.555
South Korea,1990,13.307033
Taiwan,1990,22.360420557999998
Thailand,1990,10.36948
Vietnam,1990,1.305
Other Asia Pacific,1990,45.89074833500267
Total Asia Pacific,1990,470.80161784708446
Canada,1991,14.135
Mexico,1991,67.69311301283935
US,1991,128.7651322580645
Total North America,1991,210.59324527090385
Argentina,1991,7.619
Brazil,1991,5.245925138056619
Other S. & Cent. America,1991,53.24652065476363
Total S. & Cent. America,1991,66.11144579282023
France,1991,14.084
Germany,1991,14.8
Italy,1991,104.287
Netherlands,1991,3.3040000000000003
Poland,1991,1.528
Spain,1991,10.156
Turkey,1991,3.2931999999999997
Ukraine,1991,38.528
United Kingdom,1991,28.116
Other Europe,1991,61.01067286336535
Total Europe,1991,279.10687286336537
Kazakhstan,1991,7.498982166810518
Russian Federation,1991,123.9734326850642
Other CIS,1991,37.6382
Total CIS,1991,169.11061485187471
Iran,1991,22.11104338799418
Saudi Arabia,1991,42.24003603515675
United Arab Emirates,1991,0.0014407276657060514
Other Middle East,1991,41.81001079999999
Total Middle East,1991,106.16253095081663
Egypt,1991,12.9535
South Africa,1991,0.0
Other Africa,1991,29.07492058766619
Total Africa,1991,42.02842058766621
Australia,1991,2.879
China,1991,51.923
India,1991,13.444
Indonesia,1991,14.24383
Japan,1991,275.44655743254805
Malaysia,1991,10.945
South Korea,1991,20.212859999999996
Taiwan,1991,25.596744921000003
Thailand,1991,12.748964
Vietnam,1991,1.492
Other Asia Pacific,1991,49.333399494498636
Total Asia Pacific,1991,478.2653558480467
Canada,1992,15.594000000000001
Mexico,1992,66.84700069239352
US,1992,107.69264838709677
Total North America,1992,190.13364907949028
Argentina,1992,7.6610000000000005
Brazil,1992,6.333113625043216
Other S. & Cent. America,1992,60.22091499459405
Total S. & Cent. America,1992,74.21502861963725
France,1992,9.319
Germany,1992,13.2
Italy,1992,116.02
Netherlands,1992,3.1550000000000002
Poland,1992,1.457
Spain,1992,14.329
Turkey,1992,5.273
Ukraine,1992,22.618000000000002
United Kingdom,1992,29.809
Other Europe,1992,56.24635999309332
Total Europe,1992,271.42635999309334
Kazakhstan,1992,7.300349891738644
Russian Federation,1992,100.05208157557769
Other CIS,1992,30.507299999999997
Total CIS,1992,137.85973146731632
Iran,1992,20.731696878953336
Saudi Arabia,1992,49.57638088160986
United Arab Emirates,1992,0.001550518731988472
Other Middle East,1992,49.4191118
Total Middle East,1992,119.72874007929519
Egypt,1992,12.2425
South Africa,1992,0.0
Other Africa,1992,30.33329224235731
Total Africa,1992,42.5757922423573
Australia,1992,2.3915
China,1992,53.21
India,1992,14.811
Indonesia,1992,14.94006
Japan,1992,282.14148655026133
Malaysia,1992,10.586
South Korea,1992,23.145999
Taiwan,1992,22.48127843
Thailand,1992,15.09026
Vietnam,1992,1.62
Other Asia Pacific,1992,53.28743612759362
Total Asia Pacific,1992,493.7050201078549
Canada,1993,12.008000000000001
Mexico,1993,65.92453189424891
US,1993,121.2776129032258
Total North America,1993,199.2101447974747
Argentina,1993,6.6930000000000005
Brazil,1993,6.215603472274298
Other S. & Cent. America,1993,58.71171151138817
Total S. & Cent. America,1993,71.62031498366247
France,1993,6.091
Germany,1993,10.1
Italy,1993,113.919
Netherlands,1993,3.0260000000000002
Poland,1993,1.572
Spain,1993,9.544
Turkey,1993,5.1745
Ukraine,1993,16.936
United Kingdom,1993,21.143
Other Europe,1993,54.604248542803674
Total Europe,1993,242.10974854280366
Kazakhstan,1993,6.734976480799255
Russian Federation,1993,82.88559580699697
Other CIS,1993,23.218
Total CIS,1993,112.83857228779624
Iran,1993,23.773345838713272
Saudi Arabia,1993,54.793015613263115
United Arab Emirates,1993,0.0018059510086455327
